# Valores esperados de observables
# Columnas:
# paso  <x>  <p>  <Ec>  <V>  <Etotal>
# 
3.950000000000000000e+02 2.025977293859338602e+02 9.167264392377425519e-01 1.583717286213306430e+00 4.165591343574923666e-01 2.000276420570799019e+00
4.000000000000000000e+02 2.035158601346184923e+02 9.142217973232364958e-01 1.571163448450701994e+00 4.291129721200926950e-01 2.000276420570794578e+00
4.050000000000000000e+02 2.044314929356389996e+02 9.117460345160491864e-01 1.558755952885308327e+00 4.415204676854824206e-01 2.000276420570790581e+00
4.100000000000000000e+02 2.053446592600915892e+02 9.093041399028886085e-01 1.546519168617198403e+00 4.537572519535886251e-01 2.000276420570787028e+00
4.150000000000000000e+02 2.062553955264791341e+02 9.069009293124934423e-01 1.534475089957499483e+00 4.658013306132833820e-01 2.000276420570783031e+00
4.200000000000000000e+02 2.071637427222205758e+02 9.045406597454510589e-01 1.522644105302709550e+00 4.776323152680699846e-01 2.000276420570779479e+00
4.250000000000000000e+02 2.080697457945606459e+02 9.022270137527882428e-01 1.511046268528574821e+00 4.892301520422008276e-01 2.000276420570775482e+00
4.300000000000000000e+02 2.089734532616719207e+02 8.999634930024691393e-01 1.499701185670427428e+00 5.005752349003440571e-01 2.000276420570771485e+00
4.350000000000000000e+02 2.098749171744987052e+02 8.977536289294549832e-01 1.488626772585110780e+00 5.116496479856567081e-01 2.000276420570767488e+00
4.400000000000000000e+02 2.107741930262647259e+02 8.956006849131052938e-01 1.477838653845580108e+00 5.224377667251837165e-01 2.000276420570763936e+00
4.450000000000000000e+02 2.116713392830375824e+02 8.935073057060431978e-01 1.467350787625491426e+00 5.329256329452680685e-01 2.000276420570759495e+00
4.500000000000000000e+02 2.125664167956801123e+02 8.914756675133700403e-01 1.457176082256943728e+00 5.431003383138123253e-01 2.000276420570755942e+00
4.550000000000000000e+02 2.134594885629534247e+02 8.895079364629419061e-01 1.447326050103624917e+00 5.529503704671266950e-01 2.000276420570751501e+00
4.600000000000000000e+02 2.143506198198631978e+02 8.876063716959836647e-01 1.437810202499613998e+00 5.624662180711340609e-01 2.000276420570747948e+00
4.650000000000000000e+02 2.152398779459495586e+02 8.857729040172396262e-01 1.428636215430924006e+00 5.716402051398203898e-01 2.000276420570744396e+00
