# Probabilidades en los detectores
# Columnas:
# paso  PI  PD
# 
1.910000000000000000e+02 2.231903425501870208e-03 6.807763385576429705e-27
1.920000000000000000e+02 2.169062888993340127e-03 7.510955253791687994e-27
1.930000000000000000e+02 2.107829934536729986e-03 8.286070744050740717e-27
1.940000000000000000e+02 2.048168381936601220e-03 9.140392495430440827e-27
1.950000000000000000e+02 1.990042722597411620e-03 1.008193295760981400e-26
1.960000000000000000e+02 1.933418110958543684e-03 1.111950675328984907e-26
1.970000000000000000e+02 1.878260355933620554e-03 1.226281013748483640e-26
1.980000000000000000e+02 1.824535912357466228e-03 1.352250824191354165e-26
1.990000000000000000e+02 1.772211872443998654e-03 1.491033085869022023e-26
2.000000000000000000e+02 1.721255957258243036e-03 1.643917758973665809e-26
2.010000000000000000e+02 1.671636508205564869e-03 1.812323326739021598e-26
2.020000000000000000e+02 1.623322478541129859e-03 1.997809463820909832e-26
2.030000000000000000e+02 1.576283424902523260e-03 2.202090939667133091e-26
2.040000000000000000e+02 1.530489498868349086e-03 2.427052875909054202e-26
2.050000000000000000e+02 1.485911438545569349e-03 2.674767488146128706e-26
2.060000000000000000e+02 1.442520560188243969e-03 2.947512454900781997e-26
2.070000000000000000e+02 1.400288749850233088e-03 3.247791070093456870e-26
2.080000000000000000e+02 1.359188455074378677e-03 3.578354350234746661e-26
2.090000000000000000e+02 1.319192676620545681e-03 3.942225283771395128e-26
2.100000000000000000e+02 1.280274960234871083e-03 4.342725427784694596e-26
2.110000000000000000e+02 1.242409388462440908e-03 4.783504076664254206e-26
2.120000000000000000e+02 1.205570572505578744e-03 5.268570248620909045e-26
2.130000000000000000e+02 1.169733644129808143e-03 5.802327759127377453e-26
2.140000000000000000e+02 1.134874247619502069e-03 6.389613675767292587e-26
2.150000000000000000e+02 1.100968531785134286e-03 7.035740476731924987e-26
2.160000000000000000e+02 1.067993142023989078e-03 7.746542265547063402e-26
2.170000000000000000e+02 1.035925212436088726e-03 8.528425427777960593e-26
2.180000000000000000e+02 1.004742357997036838e-03 9.388424151706836720e-26
2.190000000000000000e+02 9.744226667894034929e-04 1.033426127458793172e-25
2.200000000000000000e+02 9.449446922941910198e-04 1.137441495936771389e-25
2.210000000000000000e+02 9.162874457438626146e-04 1.251819175404864611e-25
2.220000000000000000e+02 8.884303885383357854e-04 1.377580663754023683e-25
2.230000000000000000e+02 8.613534247252787419e-04 1.515847071228050774e-25
2.240000000000000000e+02 8.350368935459723946e-04 1.667848726556006643e-25
2.250000000000000000e+02 8.094615620479424017e-04 1.834935698881397734e-25
2.260000000000000000e+02 7.846086177654941485e-04 2.018589321768131506e-25
2.270000000000000000e+02 7.604596614692167534e-04 2.220434813593233497e-25
2.280000000000000000e+02 7.369966999854662536e-04 2.442255097404261501e-25
2.290000000000000000e+02 7.142021390867672129e-04 2.686005932892242345e-25
2.300000000000000000e+02 6.920587764540161611e-04 2.953832483581610522e-25
2.310000000000000000e+02 6.705497947113103156e-04 3.248087453746664468e-25
2.320000000000000000e+02 6.496587545341617198e-04 3.571350942015788995e-25
2.330000000000000000e+02 6.293695878318043488e-04 3.926452172214622031e-25
2.340000000000000000e+02 6.096665910042455699e-04 4.316493276829907971e-25
2.350000000000000000e+02 5.905344182746516575e-04 4.744875324658935961e-25
2.360000000000000000e+02 5.719580750976133643e-04 5.215326801866823408e-25
2.370000000000000000e+02 5.539229116437764059e-04 5.731934774938033141e-25
2.380000000000000000e+02 5.364146163612749842e-04 6.299178985023700793e-25
2.390000000000000000e+02 5.194192096143548671e-04 6.921969146109626227e-25
2.400000000000000000e+02 5.029230373995251637e-04 7.605685744432115113e-25
2.410000000000000000e+02 4.869127651395274096e-04 8.356224663836255543e-25
2.420000000000000000e+02 4.713753715553679132e-04 9.180045991506257042e-25
2.430000000000000000e+02 4.562981426166099830e-04 1.008422739092024092e-24
2.440000000000000000e+02 4.416686655700847639e-04 1.107652246423248772e-24
2.450000000000000000e+02 4.274748230471276918e-04 1.216542456482488787e-24
2.460000000000000000e+02 4.137047872494162997e-04 1.336023656278034591e-24
2.470000000000000000e+02 4.003470142134365876e-04 1.467114711182265267e-24
2.480000000000000000e+02 3.873902381535687407e-04 1.610931401617518538e-24
2.490000000000000000e+02 3.748234658837485572e-04 1.768695535018029708e-24
2.500000000000000000e+02 3.626359713176162229e-04 1.941744904278893580e-24
2.510000000000000000e+02 3.508172900470371818e-04 2.131544170360753022e-24
2.520000000000000000e+02 3.393572139988376224e-04 2.339696753754601015e-24
2.530000000000000000e+02 3.282457861695691815e-04 2.567957827175670820e-24
2.540000000000000000e+02 3.174732954380822298e-04 2.818248510204376260e-24
2.550000000000000000e+02 3.070302714556560420e-04 3.092671375685898679e-24
2.560000000000000000e+02 2.969074796134060735e-04 3.393527387603769047e-24
2.570000000000000000e+02 2.870959160866558215e-04 3.723334400927955044e-24
2.580000000000000000e+02 2.775868029559373307e-04 4.084847365681738541e-24
2.590000000000000000e+02 2.683715834042526378e-04 4.481080390258195045e-24
2.600000000000000000e+02 2.594419169902064358e-04 4.915330832937676457e-24
2.610000000000000000e+02 2.507896749965940605e-04 5.391205605711422299e-24
